Country,Survey,Characteristic,Households owning agricultural land,Households owning farm animals
Liberia,2013 DHS,Wealth quintile : Highest,,13.2
Liberia,2013 DHS,Monrovia,,11
Liberia,2013 DHS,Groups of Counties : North Western (L1),,41.5
Liberia,2013 DHS,Groups of Counties : South Central (L1),,18.7
Liberia,2013 DHS,Counties : Montserrado incl Monrovia (L2),,13.7
Liberia,2013 DHS,Groups of Counties : South Eastern A (L1),,47.3
Liberia,2013 DHS,Counties : Sinoe (L2),,49.5
Liberia,2013 DHS,Counties : Grand Gedeh (L2),,46.5
Liberia,2013 DHS,Groups of Counties : South Eastern B (L1),,46.4
Liberia,2013 DHS,Groups of Counties : North Central (L1),,55.4
Liberia,2013 DHS,Counties : Bomi (L2),,31.8
Liberia,2013 DHS,Counties : Grand Cape Mount (L2),,43.1
Liberia,2013 DHS,Counties : Gbarpolu (L2),,51.2
Liberia,2013 DHS,Counties : Margibi (L2),,29.2
Liberia,2013 DHS,Counties : Grand Bassa (L2),,34.7
Liberia,2013 DHS,Counties : River Cess (L2),,45.2
Liberia,2013 DHS,Counties : River Gee (L2),,50
Liberia,2013 DHS,Counties : Grand Kru (L2),,57.4
Liberia,2013 DHS,Counties : Maryland (L2),,35.5
Liberia,2013 DHS,Counties : Lofa (L2),,47.8
Liberia,2013 DHS,Counties : Bong (L2),,52.6
Liberia,2013 DHS,Counties : Nimba (L2),,62.1
Liberia,2011 MIS,Total,30.8,28.1
Liberia,2011 MIS,Residence : Urban,13,17.4
Liberia,2011 MIS,Residence : Rural,48.2,38.6
Liberia,2011 MIS,Wealth quintile : Lowest,48.9,33.7
Liberia,2011 MIS,Wealth quintile : Second,48.7,38
Liberia,2011 MIS,Wealth quintile : Middle,30.5,35.5
Liberia,2011 MIS,Wealth quintile : Fourth,12.5,18
Liberia,2011 MIS,Wealth quintile : Highest,11.1,14.8
Liberia,2011 MIS,Monrovia,8.1,10.1
Liberia,2011 MIS,North Western,41.6,29.3
Liberia,2011 MIS,South Central,27.7,30.6
Liberia,2011 MIS,South Eastern A,43,33.2
Liberia,2011 MIS,South Eastern B,50.2,46.5
Liberia,2011 MIS,North Central,46.7,40.5
Liberia,2007 DHS,Total,,34.3
Liberia,2007 DHS,Residence : Urban,,21.1
Liberia,2007 DHS,Residence : Rural,,41.8
Liberia,2007 DHS,Wealth quintile : Lowest,,35.3
Liberia,2007 DHS,Wealth quintile : Second,,43.9
Liberia,2007 DHS,Wealth quintile : Middle,,42.3
Liberia,2007 DHS,Wealth quintile : Fourth,,27.4
Liberia,2007 DHS,Wealth quintile : Highest,,21.3
Liberia,2007 DHS,Groups of Counties : Monrovia (L1),,18.4
Liberia,2007 DHS,Groups of Counties : North Western (L1),,30.9
Liberia,2007 DHS,Groups of Counties : South Central (L1),,31.4
Liberia,2007 DHS,Groups of Counties : South Eastern A (L1),,50.7
Liberia,2007 DHS,Groups of Counties : South Eastern B (L1),,55.2
Liberia,2007 DHS,Groups of Counties : North Central (L1),,42.4
,,,,
Households owning agricultural land,Percentage of households owning agricultural land,,,
Households owning farm animals,"Percentage of households owning farm animals including cattle, cows, bulls, horses, donkeys, goats, sheep, or chickens",,,
"ICF, 2015. The DHS Program STATcompiler. Funded by USAID. http://www.statcompiler.com. February 21 2024",,,,
